dataset,cid,client_name,domain,sup_type,step,metric,pseudo_mode,metric_pixels,metric_value,checkpoint
faz,0,client1,Domain1,scribble_noisy,20,bg_expansion,backbone,15238916,0.9480070629695708,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_0_iter_20_dice_0.051.pth
faz,0,client1,Domain1,scribble_noisy,510,bg_expansion,backbone,15238916,0.0033888237194824094,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_0_iter_510_dice_0.6471.pth
faz,0,client1,Domain1,scribble_noisy,950,bg_expansion,backbone,15238916,0.004800538306005493,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_0_iter_950_dice_0.7244.pth
faz,0,client1,Domain1,scribble_noisy,2350,bg_expansion,backbone,15238916,0.014407192742580902,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_0_iter_2350_dice_0.7735.pth
faz,0,client1,Domain1,scribble_noisy,3170,bg_expansion,backbone,15238916,0.02538435148536812,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_0_iter_3170_dice_0.7813.pth
faz,0,client1,Domain1,scribble_noisy,20,bg_expansion,blended,15238916,0.9376587547303233,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_0_iter_20_dice_0.051.pth
faz,0,client1,Domain1,scribble_noisy,510,bg_expansion,blended,15238916,0.00338849561215509,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_0_iter_510_dice_0.6471.pth
faz,0,client1,Domain1,scribble_noisy,950,bg_expansion,blended,15238916,0.004689966136698962,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_0_iter_950_dice_0.7244.pth
faz,0,client1,Domain1,scribble_noisy,2350,bg_expansion,blended,15238916,0.014667578717541327,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_0_iter_2350_dice_0.7735.pth
faz,0,client1,Domain1,scribble_noisy,3170,bg_expansion,blended,15238916,0.025118978279032447,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_0_iter_3170_dice_0.7813.pth
faz,1,client2,Domain2,keypoint,20,bg_expansion,backbone,9271043,0.956869038359546,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_1_iter_20_dice_0.1108.pth
faz,1,client2,Domain2,keypoint,510,bg_expansion,backbone,9271043,0.003666362026365318,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_1_iter_510_dice_0.8915.pth
faz,1,client2,Domain2,keypoint,950,bg_expansion,backbone,9271043,0.006057463006050128,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_1_iter_950_dice_0.9174.pth
faz,1,client2,Domain2,keypoint,2350,bg_expansion,backbone,9271043,0.0025015524143292183,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_1_iter_2350_dice_0.9591.pth
faz,1,client2,Domain2,keypoint,3170,bg_expansion,backbone,9271043,0.0012643669110368704,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_1_iter_3170_dice_0.9436.pth
faz,1,client2,Domain2,keypoint,20,bg_expansion,blended,9271043,0.9537665826811503,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_1_iter_20_dice_0.1108.pth
faz,1,client2,Domain2,keypoint,510,bg_expansion,blended,9271043,0.003650290479722724,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_1_iter_510_dice_0.8915.pth
faz,1,client2,Domain2,keypoint,950,bg_expansion,blended,9271043,0.005901709225164849,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_1_iter_950_dice_0.9174.pth
faz,1,client2,Domain2,keypoint,2350,bg_expansion,blended,9271043,0.0026315270029488593,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_1_iter_2350_dice_0.9591.pth
faz,1,client2,Domain2,keypoint,3170,bg_expansion,blended,9271043,0.0012196038784417244,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_1_iter_3170_dice_0.9436.pth
faz,2,client3,Domain3,block,20,bg_expansion,backbone,1226948,0.9979273775253719,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_20_dice_0.0562.pth
faz,2,client3,Domain3,block,510,bg_expansion,backbone,1226948,0.07709454679415917,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_510_dice_0.769.pth
faz,2,client3,Domain3,block,950,bg_expansion,backbone,1226948,0.09314331169699124,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_950_dice_0.8213.pth
faz,2,client3,Domain3,block,2350,bg_expansion,backbone,1226948,0.03145039561578812,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_2350_dice_0.8335.pth
faz,2,client3,Domain3,block,3170,bg_expansion,backbone,1226948,0.024035248437586598,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_3170_dice_0.7865.pth
faz,2,client3,Domain3,block,20,bg_expansion,blended,1226948,0.9972068905935704,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_20_dice_0.0562.pth
