dataset,cid,client_name,domain,sup_type,step,metric,pseudo_mode,metric_pixels,metric_value,checkpoint
odoc,0,client1,Domain1,scribble,10,bg_expansion,backbone,6055318,1.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_10_dice_0.1416.pth
odoc,0,client1,Domain1,scribble,480,bg_expansion,backbone,6055318,0.6101917355950588,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_480_dice_0.7711.pth
odoc,0,client1,Domain1,scribble,970,bg_expansion,backbone,6055318,0.017845635852650515,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_970_dice_0.8636.pth
odoc,0,client1,Domain1,scribble,1520,bg_expansion,backbone,6055318,0.02228470907721114,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_1520_dice_0.8775.pth
odoc,0,client1,Domain1,scribble,1930,bg_expansion,backbone,6055318,0.06787108455740888,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_1930_dice_0.869.pth
odoc,0,client1,Domain1,scribble,2520,bg_expansion,backbone,6055318,0.045076905952750955,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_2520_dice_0.8661.pth
odoc,0,client1,Domain1,scribble,3000,bg_expansion,backbone,6055318,0.041043591765122824,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_3000_dice_0.8834.pth
odoc,0,client1,Domain1,scribble,3290,bg_expansion,backbone,6055318,0.02546059513307146,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_3290_dice_0.8708.pth
odoc,0,client1,Domain1,scribble,3920,bg_expansion,backbone,6055318,0.03765087151492291,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_3920_dice_0.8791.pth
odoc,0,client1,Domain1,scribble,10,bg_expansion,blended,6055318,1.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_10_dice_0.1416.pth
odoc,0,client1,Domain1,scribble,480,bg_expansion,blended,6055318,0.6082555862466678,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_480_dice_0.7711.pth
odoc,0,client1,Domain1,scribble,970,bg_expansion,blended,6055318,0.017101166280614824,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_970_dice_0.8636.pth
odoc,0,client1,Domain1,scribble,1520,bg_expansion,blended,6055318,0.023065180061559113,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_1520_dice_0.8775.pth
odoc,0,client1,Domain1,scribble,1930,bg_expansion,blended,6055318,0.06651508640834387,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_1930_dice_0.869.pth
odoc,0,client1,Domain1,scribble,2520,bg_expansion,blended,6055318,0.04594655474741376,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_0_iter_2520_dice_0.8661.pth
