dataset,cid,client_name,domain,sup_type,step,metric,pseudo_mode,metric_pixels,metric_value,checkpoint
prostate,0,client1,Domain1,block,150,bg_expansion,backbone,1515347,0.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_150_dice_0.0.pth
prostate,0,client1,Domain1,block,450,bg_expansion,backbone,1515347,0.2517086845455199,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_450_dice_0.2859.pth
prostate,0,client1,Domain1,block,1080,bg_expansion,backbone,1515347,0.03667938762540857,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_1080_dice_0.29.pth
prostate,0,client1,Domain1,block,1530,bg_expansion,backbone,1515347,0.045917535719541464,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_1530_dice_0.6609.pth
prostate,0,client1,Domain1,block,2380,bg_expansion,backbone,1515347,0.011842832037810481,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_2380_dice_0.48.pth
prostate,0,client1,Domain1,block,3040,bg_expansion,backbone,1515347,0.048594810297575404,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_3040_dice_0.478.pth
prostate,0,client1,Domain1,block,3160,bg_expansion,backbone,1515347,0.03128788323730472,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_3160_dice_0.5229.pth
prostate,0,client1,Domain1,block,150,bg_expansion,blended,1515347,0.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_150_dice_0.0.pth
prostate,0,client1,Domain1,block,450,bg_expansion,blended,1515347,0.24756837872777654,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_450_dice_0.2859.pth
prostate,0,client1,Domain1,block,1080,bg_expansion,blended,1515347,0.03787053394371058,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_1080_dice_0.29.pth
prostate,0,client1,Domain1,block,1530,bg_expansion,blended,1515347,0.04568326594502777,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_1530_dice_0.6609.pth
prostate,0,client1,Domain1,block,2380,bg_expansion,blended,1515347,0.012371423838896306,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_2380_dice_0.48.pth
prostate,0,client1,Domain1,block,3040,bg_expansion,blended,1515347,0.04876704807545731,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_3040_dice_0.478.pth
prostate,0,client1,Domain1,block,3160,bg_expansion,blended,1515347,0.03136113378651886,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_0_iter_3160_dice_0.5229.pth
prostate,1,client2,Domain2,keypoint,150,bg_expansion,backbone,41901735,0.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_150_dice_0.0.pth
prostate,1,client2,Domain2,keypoint,450,bg_expansion,backbone,41901735,0.008658639075446398,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_450_dice_0.5061.pth
prostate,1,client2,Domain2,keypoint,1080,bg_expansion,backbone,41901735,0.010831890373990481,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_1080_dice_0.6051.pth
prostate,1,client2,Domain2,keypoint,1530,bg_expansion,backbone,41901735,0.02220488006045573,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_1530_dice_0.6745.pth
prostate,1,client2,Domain2,keypoint,2380,bg_expansion,backbone,41901735,0.011782352210475295,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_2380_dice_0.5979.pth
prostate,1,client2,Domain2,keypoint,3040,bg_expansion,backbone,41901735,0.009727377637226716,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_3040_dice_0.7334.pth
prostate,1,client2,Domain2,keypoint,3160,bg_expansion,backbone,41901735,0.0071692019435472066,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_3160_dice_0.7137.pth
prostate,1,client2,Domain2,keypoint,150,bg_expansion,blended,41901735,0.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_150_dice_0.0.pth
