dataset,client,domain,assigned_key,file,total_px,ann_fg_px,ann_labeled_px,gt_fg_px,ann_fg_ratio,ann_labeled_ratio,gt_fg_ratio,ann_fg_inside_gt_ratio,gt_fg_covered_by_ann_ratio,ann_fg_boundary_ratio,ann_fg_core_ratio
odoc,client1,Domain1,scribble,gdrishtiGS_002.h5,147456,2185,4643,17690,0.014817979600694444,0.031487358940972224,0.1199679904513889,1.0,0.12351611079706049,0.030205949656750573,0.9697940503432494
odoc,client1,Domain1,scribble,gdrishtiGS_004.h5,147456,2643,5174,20346,0.017923990885416668,0.035088433159722224,0.13798014322916666,1.0,0.1299026835741669,0.14907302307983353,0.8509269769201665
odoc,client1,Domain1,scribble,gdrishtiGS_010.h5,147456,3283,5922,28167,0.022264268663194444,0.0401611328125,0.19101969401041666,0.9975632043862321,0.11627081336315546,0.2208346024977155,0.7767286018885166
odoc,client1,Domain1,scribble,gdrishtiGS_012.h5,147456,2642,5140,19785,0.017917209201388888,0.034857855902777776,0.13417561848958334,0.9965934897804694,0.13308061662875917,0.16010598031794096,0.8364875094625284
odoc,client1,Domain1,scribble,gdrishtiGS_015.h5,147456,2780,5347,22727,0.018853081597222224,0.036261664496527776,0.15412733289930555,1.0,0.12232146785761429,0.0420863309352518,0.9579136690647482
odoc,client1,Domain1,scribble,gdrishtiGS_016.h5,147456,2242,4709,18293,0.015204535590277778,0.03193495008680555,0.1240573459201389,0.9942016057091883,0.12184988793527579,0.07136485280999108,0.9228367528991972
odoc,client1,Domain1,scribble,gdrishtiGS_022.h5,147456,1900,4348,17265,0.012885199652777778,0.029486762152777776,0.11708577473958333,1.0,0.11004923255140457,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_024.h5,147456,2761,5395,26918,0.018724229600694444,0.03658718532986111,0.1825493706597222,1.0,0.1025707704881492,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_026.h5,147456,2542,5006,18203,0.017239040798611112,0.03394911024305555,0.1234469943576389,0.9870180959874115,0.13783442289732462,0.23800157356412274,0.7490165224232888
odoc,client1,Domain1,scribble,gdrishtiGS_031.h5,147456,2381,4945,24141,0.016147189670138888,0.03353542751736111,0.16371663411458334,1.0,0.09862888861273353,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_032.h5,147456,3223,5746,35435,0.021857367621527776,0.03896755642361111,0.24030897352430555,1.0,0.09095527021306618,0.006205398696866274,0.9937946013031337
odoc,client1,Domain1,scribble,gdrishtiGS_038.h5,147456,2115,4592,20219,0.01434326171875,0.031141493055555556,0.1371188693576389,1.0,0.10460457985063554,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_040.h5,147456,2758,5356,24459,0.018703884548611112,0.036322699652777776,0.16587320963541666,1.0,0.11276012919579705,0.009064539521392313,0.9909354604786077
odoc,client1,Domain1,scribble,gdrishtiGS_044.h5,147456,2452,4993,22147,0.016628689236111112,0.03386094835069445,0.15019395616319445,1.0,0.1107147694947397,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_045.h5,147456,1879,4377,19117,0.012742784288194444,0.029683430989583332,0.1296454535590278,1.0,0.09828948056703457,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_049.h5,147456,2747,5388,26225,0.018629286024305556,0.036539713541666664,0.1778496636284722,1.0,0.10474737845567207,0.00036403349108117945,0.9996359665089188
odoc,client1,Domain1,scribble,gdrishtiGS_051.h5,147456,2061,4568,18948,0.01397705078125,0.030978732638888888,0.12849934895833334,1.0,0.10877137428752374,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_058.h5,147456,2422,4946,20172,0.016425238715277776,0.03354220920138889,0.13680013020833334,1.0,0.12006742018639699,0.05284888521882741,0.9471511147811725
odoc,client1,Domain1,scribble,gdrishtiGS_060.h5,147456,2805,5433,24396,0.019022623697916668,0.036844889322916664,0.16544596354166666,1.0,0.11497786522380718,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_061.h5,147456,2808,5416,25875,0.01904296875,0.03672960069444445,0.17547607421875,1.0,0.10852173913043478,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_062.h5,147456,2757,5355,27570,0.018697102864583332,0.03631591796875,0.18697102864583334,1.0,0.1,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_063.h5,147456,3407,5800,33765,0.023105197482638888,0.03933376736111111,0.22898356119791666,1.0,0.10090330223604324,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_064.h5,147456,2837,5492,27046,0.019239637586805556,0.03724500868055555,0.1834174262152778,1.0,0.10489536345485469,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_066.h5,147456,2326,4888,21604,0.015774197048611112,0.033148871527777776,0.1465115017361111,1.0,0.1076652471764488,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_068.h5,147456,3456,6105,35153,0.0234375,0.041402180989583336,0.2383965386284722,1.0,0.0983130884988479,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_069.h5,147456,3557,6165,35449,0.024122450086805556,0.04180908203125,0.24040391710069445,1.0,0.10034133543964568,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_075.h5,147456,2743,5435,29654,0.018602159288194444,0.036858452690972224,0.2011040581597222,1.0,0.09250016861131719,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_076.h5,147456,2604,5257,26226,0.017659505208333332,0.035651312934027776,0.1778564453125,1.0,0.09929078014184398,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_080.h5,147456,2622,5310,28573,0.017781575520833332,0.0360107421875,0.19377305772569445,1.0,0.09176495292758899,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_081.h5,147456,2438,4998,21024,0.016533745659722224,0.033894856770833336,0.142578125,1.0,0.1159627092846271,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_084.h5,147456,2567,5117,24062,0.017408582899305556,0.03470187717013889,0.1631808810763889,1.0,0.10668273626464965,0.0,1.0
odoc,client1,Domain1,scribble,gdrishtiGS_088.h5,147456,1328,3801,19726,0.009006076388888888,0.025777180989583332,0.13377549913194445,1.0,0.06732231572543851,0.0,1.0
