dataset,client,domain,assigned_key,file,total_px,ann_fg_px,ann_labeled_px,gt_fg_px,ann_fg_ratio,ann_labeled_ratio,gt_fg_ratio,ann_fg_inside_gt_ratio,gt_fg_covered_by_ann_ratio,ann_fg_boundary_ratio,ann_fg_core_ratio
polyp,client1,Domain1,keypoint,1.h5,147456,52,100,22579,0.00035264756944444444,0.0006781684027777778,0.15312364366319445,0.9230769230769231,0.0021258691704681342,0.17307692307692307,0.75
polyp,client1,Domain1,keypoint,10.h5,147456,52,104,24353,0.00035264756944444444,0.0007052951388888889,0.1651543511284722,0.9807692307692307,0.0020941978401018357,0.46153846153846156,0.5192307692307693
polyp,client1,Domain1,keypoint,101.h5,147456,52,104,10428,0.00035264756944444444,0.0007052951388888889,0.07071940104166667,1.0,0.004986574606827772,0.0,1.0
polyp,client1,Domain1,keypoint,102.h5,147456,52,104,10462,0.00035264756944444444,0.0007052951388888889,0.0709499782986111,1.0,0.004970368954310839,0.0,1.0
polyp,client1,Domain1,keypoint,103.h5,147456,52,104,12606,0.00035264756944444444,0.0007052951388888889,0.08548990885416667,1.0,0.004125019831826115,0.0,1.0
polyp,client1,Domain1,keypoint,104.h5,147456,52,104,17685,0.00035264756944444444,0.0007052951388888889,0.11993408203125,1.0,0.0029403449250777493,0.0,1.0
polyp,client1,Domain1,keypoint,105.h5,147456,52,104,21681,0.00035264756944444444,0.0007052951388888889,0.14703369140625,1.0,0.0023984133573174667,0.0,1.0
polyp,client1,Domain1,keypoint,107.h5,147456,52,104,27735,0.00035264756944444444,0.0007052951388888889,0.18809000651041666,1.0,0.0018748873264827835,0.0,1.0
polyp,client1,Domain1,keypoint,108.h5,147456,52,104,26394,0.00035264756944444444,0.0007052951388888889,0.17899576822916666,0.9807692307692307,0.001932257331211639,0.23076923076923078,0.75
polyp,client1,Domain1,keypoint,109.h5,147456,52,104,24252,0.00035264756944444444,0.0007052951388888889,0.16446940104166666,1.0,0.0021441530595414813,0.23076923076923078,0.7692307692307693
polyp,client1,Domain1,keypoint,11.h5,147456,52,104,23484,0.00035264756944444444,0.0007052951388888889,0.15926106770833334,1.0,0.0022142735479475386,0.25,0.75
polyp,client1,Domain1,keypoint,110.h5,147456,52,104,33840,0.00035264756944444444,0.0007052951388888889,0.2294921875,1.0,0.0015366430260047282,0.25,0.75
polyp,client1,Domain1,keypoint,111.h5,147456,52,104,34186,0.00035264756944444444,0.0007052951388888889,0.2318386501736111,1.0,0.0015210905048850406,0.17307692307692307,0.8269230769230769
