dataset,client,domain,assigned_key,file,total_px,ann_fg_px,ann_labeled_px,gt_fg_px,ann_fg_ratio,ann_labeled_ratio,gt_fg_ratio,ann_fg_inside_gt_ratio,gt_fg_covered_by_ann_ratio,ann_fg_boundary_ratio,ann_fg_core_ratio
prostate,client1,Domain1,block,Case00_0.h5,147456,164,144777,827,0.0011121961805555555,0.9818318684895834,0.005608452690972222,1.0,0.19830713422007254,0.17073170731707318,0.8292682926829268
prostate,client1,Domain1,block,Case00_1.h5,147456,259,144098,1145,0.0017564561631944445,0.9772271050347222,0.007765028211805556,1.0,0.2262008733624454,0.011583011583011582,0.9884169884169884
prostate,client1,Domain1,block,Case00_10.h5,147456,3008,141967,4417,0.020399305555555556,0.9627753363715278,0.029954698350694444,1.0,0.681005207154177,0.09773936170212766,0.9022606382978723
prostate,client1,Domain1,block,Case00_11.h5,147456,1932,142264,3327,0.013102213541666666,0.9647894965277778,0.022562662760416668,1.0,0.5807033363390441,0.10196687370600414,0.8980331262939959
prostate,client1,Domain1,block,Case00_12.h5,147456,781,143302,1700,0.005296495225694444,0.9718288845486112,0.011528862847222222,1.0,0.45941176470588235,0.2330345710627401,0.7669654289372599
prostate,client1,Domain1,block,Case00_13.h5,147456,380,144638,851,0.0025770399305555555,0.9808892144097222,0.005771213107638889,1.0,0.44653349001175086,0.45263157894736844,0.5473684210526316
prostate,client1,Domain1,block,Case00_2.h5,147456,1299,142684,2606,0.008809407552083334,0.9676378038194444,0.017673068576388888,1.0,0.4984650805832694,0.09853733641262509,0.9014626635873749
prostate,client1,Domain1,block,Case00_3.h5,147456,1920,141972,3500,0.013020833333333334,0.9628092447916666,0.023735894097222224,1.0,0.5485714285714286,0.0671875,0.9328125
prostate,client1,Domain1,block,Case00_4.h5,147456,2538,141992,4006,0.0172119140625,0.9629448784722222,0.027167426215277776,1.0,0.6335496754867699,0.10559495665878645,0.8944050433412135
prostate,client1,Domain1,block,Case00_5.h5,147456,2954,141692,4460,0.020033094618055556,0.9609103732638888,0.030246310763888888,1.0,0.6623318385650224,0.07616790792146243,0.9238320920785376
prostate,client1,Domain1,block,Case00_6.h5,147456,3405,141522,4923,0.023091634114583332,0.9597574869791666,0.03338623046875,1.0,0.6916514320536259,0.08223201174743025,0.9177679882525698
prostate,client1,Domain1,block,Case00_7.h5,147456,3710,141472,5230,0.025160047743055556,0.9594184027777778,0.035468207465277776,1.0,0.7093690248565966,0.09029649595687332,0.9097035040431267
prostate,client1,Domain1,block,Case00_8.h5,147456,3534,141599,5004,0.023966471354166668,0.9602796766493056,0.033935546875,1.0,0.7062350119904077,0.11318619128466327,0.8868138087153368
prostate,client1,Domain1,block,Case00_9.h5,147456,3138,141872,4570,0.021280924479166668,0.9621310763888888,0.030992296006944444,1.0,0.6866520787746171,0.10516252390057361,0.8948374760994264
prostate,client1,Domain1,block,Case03_10.h5,147456,5895,139627,8204,0.03997802734375,0.9469061957465278,0.05563693576388889,1.0,0.7185519258898099,0.04037319762510602,0.959626802374894
prostate,client1,Domain1,block,Case03_11.h5,147456,6583,139313,8942,0.04464382595486111,0.9447767469618056,0.06064181857638889,1.0,0.7361887720867815,0.037065167856600335,0.9629348321433997
prostate,client1,Domain1,block,Case03_12.h5,147456,6615,139130,9061,0.04486083984375,0.9435356987847222,0.06144883897569445,1.0,0.7300518706544532,0.029327286470143613,0.9706727135298564
prostate,client1,Domain1,block,Case03_13.h5,147456,6346,139218,8800,0.043036566840277776,0.9441324869791666,0.05967881944444445,1.0,0.7211363636363637,0.02820674440592499,0.971793255594075
prostate,client1,Domain1,block,Case03_14.h5,147456,5918,139417,8341,0.04013400607638889,0.9454820421006944,0.05656602647569445,1.0,0.7095072533269392,0.030753632984116257,0.9692463670158837
prostate,client1,Domain1,block,Case03_15.h5,147456,4164,139725,6642,0.028238932291666668,0.94757080078125,0.0450439453125,1.0,0.6269196025293586,0.021613832853025938,0.978386167146974
prostate,client1,Domain1,block,Case03_16.h5,147456,1505,141960,3233,0.010206434461805556,0.9627278645833334,0.021925184461805556,1.0,0.4655119084441695,0.017940199335548173,0.9820598006644519
