round,client,confidence_mean,need_mean,source_file,slot_0,slot_1,slot_2,slot_3
50,0,0.37069,0.62931,client0.log,0.2681,0.3183,0.4343,0.462
50,1,0.388581,0.611419,client1.log,0.4783,0.5333,0.2051,0.3377
50,2,0.375869,0.624131,client2.log,0.2616,0.4904,0.3182,0.4332
50,3,0.364945,0.635055,client3.log,0.3525,0.3513,0.359,0.3969
50,4,0.374681,0.625319,client4.log,0.492,0.4137,0.3058,0.2873
100,0,0.36532,0.63468,client0.log,0.331,0.3462,0.4355,0.3485
100,1,0.373299,0.626701,client1.log,0.3948,0.2691,0.4705,0.3588
100,2,0.367387,0.632613,client2.log,0.319,0.4663,0.3231,0.3612
100,3,0.398309,0.601691,client3.log,0.1706,0.4708,0.4215,0.5303
100,4,0.367063,0.632937,client4.log,0.357,0.4052,0.3367,0.3694
150,0,0.386866,0.613134,client0.log,0.2014,0.3488,0.4975,0.4998
150,1,0.371118,0.628882,client1.log,0.4081,0.2773,0.3851,0.414
150,2,0.373187,0.626813,client2.log,0.3901,0.2667,0.427,0.4089
150,3,0.363964,0.636036,client3.log,0.4589,0.2917,0.3563,0.349
150,4,0.389673,0.610327,client4.log,0.604,0.4131,0.2992,0.2423
200,0,0.367505,0.632495,client0.log,0.2857,0.395,0.409,0.3804
200,1,0.384618,0.615382,client1.log,0.4554,0.2428,0.5438,0.2965
200,2,0.374884,0.625116,client2.log,0.5233,0.2876,0.3894,0.2992
200,3,0.368863,0.631137,client3.log,0.257,0.4561,0.355,0.4074
200,4,0.373662,0.626338,client4.log,0.3483,0.2608,0.468,0.4175
250,0,0.366393,0.633607,client0.log,0.3865,0.3536,0.3891,0.3363
250,1,0.370198,0.629802,client1.log,0.4349,0.3874,0.3649,0.2935
250,2,0.381048,0.618952,client2.log,0.282,0.5117,0.2771,0.4534
250,3,0.369832,0.630168,client3.log,0.4351,0.3059,0.4317,0.3067
250,4,0.368365,0.631635,client4.log,0.3666,0.3077,0.4294,0.3697
300,0,0.365299,0.634701,client0.log,0.4015,0.3359,0.3786,0.3452
300,1,0.386133,0.613868,client1.log,0.3758,0.5123,0.2062,0.4502
300,2,0.377208,0.622792,client2.log,0.3341,0.4571,0.2631,0.4544
300,3,0.376295,0.623705,client3.log,0.4879,0.3939,0.3663,0.2571
300,4,0.368548,0.631452,client4.log,0.3655,0.3716,0.4201,0.3171
350,0,0.364096,0.635904,client0.log,0.3904,0.3577,0.3891,0.3192
350,1,0.371004,0.628996,client1.log,0.4302,0.3242,0.4216,0.3081
350,2,0.36682,0.63318,client2.log,0.3494,0.3548,0.3887,0.3744
350,3,0.367912,0.632088,client3.log,0.3515,0.3316,0.3978,0.3908
350,4,0.370524,0.629476,client4.log,0.3256,0.3092,0.4591,0.3883
400,0,0.371922,0.628078,client0.log,0.4402,0.3142,0.4334,0.2999
400,1,0.373475,0.626525,client1.log,0.4356,0.4232,0.3691,0.266
400,2,0.398656,0.601344,client2.log,0.5349,0.187,0.5365,0.3362
400,3,0.370858,0.629142,client3.log,0.4347,0.3289,0.4109,0.309
400,4,0.367507,0.632493,client4.log,0.4074,0.3374,0.3836,0.3416
