client,sup_type,binning_mode,n_samples,labeled_ratio,mean_d_fg,mean_d_bg,bin,bin_name,bin_frac_mean,bin_frac_std
client1,scribble_noisy,rule,244,0.021636462602459015,80.79383137242675,28.10309691075229,0,direct_labeled,0.021636462602459015,0.0021725867997971627
client1,scribble_noisy,rule,244,0.021636462602459015,80.79383137242675,28.10309691075229,1,near_any_label(d<=8),0.17070082367443648,0.01555450803904739
client1,scribble_noisy,rule,244,0.021636462602459015,80.79383137242675,28.10309691075229,2,mid_range(8<d<=24),0.3516902610903881,0.029459631518158207
client1,scribble_noisy,rule,244,0.021636462602459015,80.79383137242675,28.10309691075229,3,far_from_label(d>24),0.45597245263271646,0.04667250029063814
client2,keypoint,rule,150,0.0015868123372395834,83.68802116201165,63.42857631567393,0,direct_labeled,0.0015868123372395834,1.2417150488010391e-06
client2,keypoint,rule,150,0.0015868123372395834,83.68802116201165,63.42857631567393,1,near_any_label(d<=8),0.03443766276041667,0.0007084030860327888
client2,keypoint,rule,150,0.0015868123372395834,83.68802116201165,63.42857631567393,2,mid_range(8<d<=24),0.12546722412109376,0.02010072275631732
client2,keypoint,rule,150,0.0015868123372395834,83.68802116201165,63.42857631567393,3,far_from_label(d>24),0.83850830078125,0.020458019883296735
client3,block,rule,200,0.8925339508056641,82.61380858565211,1.9296298065187465,0,direct_labeled,0.8925339508056641,0.018958761625104074
client3,block,rule,200,0.8925339508056641,82.61380858565211,1.9296298065187465,1,near_any_label(d<=8),0.053504257202148436,0.008878619280740753
client3,block,rule,200,0.8925339508056641,82.61380858565211,1.9296298065187465,2,mid_range(8<d<=24),0.053908157348632815,0.010192852469958352
client3,block,rule,200,0.8925339508056641,82.61380858565211,1.9296298065187465,3,far_from_label(d>24),5.36346435546875e-05,0.0006976570957513517
client4,box,rule,708,0.7512571259407,83.0764052978399,5.873088427182645,0,direct_labeled,0.7512571259407,0.050283539091753954
client4,box,rule,708,0.7512571259407,83.0764052978399,5.873088427182645,1,near_any_label(d<=8),0.07529583085054732,0.00867578933867627
client4,box,rule,708,0.7512571259407,83.0764052978399,5.873088427182645,2,mid_range(8<d<=24),0.1441914186639301,0.01936660932051637
client4,box,rule,708,0.7512571259407,83.0764052978399,5.873088427182645,3,far_from_label(d>24),0.029255624544822563,0.023013456605837253
client5,scribble,rule,30,0.03165842692057292,73.836972243776,36.23858015560957,0,direct_labeled,0.03165842692057292,0.00888743247786285
client5,scribble,rule,30,0.03165842692057292,73.836972243776,36.23858015560957,1,near_any_label(d<=8),0.16653340657552082,0.04494247515887917
client5,scribble,rule,30,0.03165842692057292,73.836972243776,36.23858015560957,2,mid_range(8<d<=24),0.3508087158203125,0.08769241178114688
client5,scribble,rule,30,0.03165842692057292,73.836972243776,36.23858015560957,3,far_from_label(d>24),0.45099945068359376,0.14122478893735124
